id	question	correctAnswer	answerA	answerB	answerC	answerD
100425	Some students were investigating the relationship between position, time, and speed. The students marked the initial position of a toy car. The students set the car into motion and marked the position of the car each second. Which of these are most appropriate for recording and analyzing the students' data?	B	a table and a bar graph	a table and a line graph	a pie chart and a bar graph	a pie chart and a line graph
100426	Which characteristic below most likely accounts for our limited knowledge of galaxies?	D	their tiny size	their magnetic cores	their inability to produce light	their great distance from Earth
100427	A car runs out of fuel while traveling on a level road and eventually comes to a stop. Which of the following best explains why the car stops?	A	Some of the energy of the car was lost to friction.	Some of the energy of the car was destroyed.	The amount of kinetic energy increased.	The amount of useful energy increased.
100428	In some areas deep currents are pulled toward the surface near continents.  These areas, BEST known as __________ are rich in marine organisms due to the nutrients brought to the surface.	B	gyres	upwellings	surface currents	density currents
100429	A student recorded the growth rate of plants grown in the presence of two different types of music. Plants grown in the presence of one type of music grew faster than the other plants. Before reporting a conclusion, which should the student most likely do?	B	use different plants	do the experiment again	add a third type of music	use fewer plants
100430	After which event will ecological succession most likely happen?	A	a forest fire	a thunderstorm	a high tide	a lunar eclipse
100431	Which statement is an acceptable method for updating scientific knowledge?	B	Replace old information with new information on a monthly basis.	Add information from new research to existing information.	Have a committee vote on which old information should be changed.	Use current information from the Internet to change existing research data.
100432	In the 1920's, tires were sunk along the Florida coast to create artificial barrier reefs. Because many of the tires are constantly in motion, no marine life has been attracted to this artificial habitat. Now marine biologists are in the process of removing the tires from the ocean floor. Which statement best describes the reason the tires are being removed?	C	Scientists are making space for natural reefs to develop.	Marine life has evolved and is no longer attracted to the material.	New observations have led scientists to reconsider their original hypothesis.	The scientists formed their hypothesis after the investigation had taken place.
100433	When organisms live within a competitive environment, the one with the highest fitness is most likely to survive and reproduce.  This concept of survival of the fittest, where the most well-adapted individual survives and reproduces, is known as__________.	B	artificial selection	natural selection	natural survival	struggle for existence
100434	What reason best explains why more people get colds in colder temperatures?	D	Viruses need colder temperatures to survive.	Viruses need colder temperatures to infect people.	Colder temperatures lower a person's body temperature.	Colder temperatures cause people to stay inside, closer together.
